"id","english","vietnamese","note","module","boi_canh","vi_du"
"254","Fuzzers","fuzzers","công cụ thực hiện fuzz testing — kiểm thử đầu vào ngẫu nhiên","10","Là các công cụ được thiết kế để thực hiện Fuzz Testing, tự động gửi đi một lượng lớn dữ liệu không hợp lệ hoặc ngẫu nhiên đến một ứng dụng để tìm ra các lỗi và lỗ hổng.","Các nhà nghiên cứu bảo mật sử dụng các Fuzzers khác nhau để tìm kiếm các lỗ hổng zero-day trong các trình duyệt web và các hệ điều hành."
"255","Fuzz testing","kiểm thử fuzz","kỹ thuật thử nghiệm phần mềm với dữ liệu ngẫu nhiên để tìm lỗi/lỗ hổng","10","Là một kỹ thuật kiểm thử phần mềm tự động, tập trung vào việc tìm kiếm các lỗi crash hoặc các hành vi không mong muốn bằng cách cung cấp các đầu vào không hợp lệ.","Fuzz Testing đã giúp phát hiện ra hàng nghìn lỗ hổng nghiêm trọng trong các phần mềm mã nguồn mở phổ biến."
"256","Peach","Peach","framework fuzzing để tìm lỗi bảo mật trên ứng dụng và giao thức","10","Là một nền tảng fuzzing mạnh mẽ, cho phép người dùng tạo ra các fuzzer thông minh để kiểm thử các định dạng file phức tạp và các giao thức mạng.","Một chuyên gia bảo mật sử dụng Peach Fuzzer để kiểm tra một giao thức mạng tùy chỉnh nhằm tìm kiếm các lỗ hổng tiềm ẩn."
"257","Mutiny Fuzzing Framework","Mutiny Fuzzing Framework","framework fuzzing nâng cao","10","Là một framework fuzzing dựa trên mạng, cho phép kiểm thử các giao thức mạng bằng cách theo dõi và thay đổi dữ liệu được gửi đi.","Mutiny Fuzzing Framework được sử dụng để tìm kiếm các lỗ hổng trong việc triển khai giao thức TLS của một máy chủ."
"258","American Fuzzy Lop","AFL","fuzzer phổ biến để tìm lỗi phần mềm, crash, memory corruption","10","Là một trong những công cụ fuzzing hiệu quả và phổ biến nhất, sử dụng kỹ thuật "instrumentation" để khám phá các đường thực thi mới trong mã và tìm ra các lỗi một cách thông minh.","Một nhà nghiên cứu chạy AFL trong nhiều ngày trên một thư viện xử lý ảnh và đã phát hiện ra nhiều lỗ hổng tràn bộ đệm."
"259","Wifite2","Wifite2","tool tự động tấn công mạng Wi-Fi — brute-force WEP/WPA/WPA2","10","Là một kịch bản tự động hóa việc tấn công các mạng Wi-Fi, giúp đơn giản hóa quá trình tìm kiếm và bẻ khóa các mạng WEP, WPA, và WPA2.","Một pentester sử dụng Wifite2 để nhanh chóng kiểm tra xem các mạng Wi-Fi trong khu vực có sử dụng mật khẩu yếu hay không."
"260","EAPHammer","EAPHammer","tool pentest Wi-Fi Enterprise — tấn công WPA2-Enterprise","10","Là một công cụ chuyên dụng để tấn công các mạng Wi-Fi sử dụng chuẩn WPA2-Enterprise, thường được dùng trong các môi trường doanh nghiệp.","Pentester sử dụng EAPHammer để thực hiện một cuộc tấn công "Evil Twin" nhằm đánh cắp thông tin đăng nhập của người dùng vào mạng Wi-Fi doanh nghiệp."
"261","Spooftooph","Spooftooph","tool giả mạo MAC address trên Bluetooth/Wi-Fi","10","Là một công cụ được thiết kế để tự động giả mạo địa chỉ MAC, thường được dùng để vượt qua các biện pháp bảo mật dựa trên lọc địa chỉ MAC.","Một người dùng sử dụng Spooftooph để thay đổi địa chỉ MAC của mình nhằm truy cập vào một mạng Wi-Fi công cộng có giới hạn thời gian."
"262","Reaver","Reaver","tool khai thác WPS PIN để truy cập mạng Wi-Fi","10","Là một công cụ chuyên tấn công vào lỗ hổng của tính năng Wi-Fi Protected Setup (WPS) để khôi phục mật khẩu WPA/WPA2 mà không cần tấn công từ điển.","Pentester sử dụng Reaver để tấn công vào mã PIN của WPS và lấy được mật khẩu Wi-Fi trong vài giờ."
"263","WiGLE (Wireless Geographic Logging Engine)","WiGLE","database và tool thu thập dữ liệu vị trí Wi-Fi.","10","Là một website và cơ sở dữ liệu toàn cầu về các mạng không dây, được xây dựng từ dữ liệu do cộng đồng đóng góp. Được dùng trong giai đoạn trinh sát để thu thập thông tin về các mạng Wi-Fi của một tổ chức.","Một nhà nghiên cứu sử dụng WiGLE để tìm kiếm và vẽ bản đồ các điểm truy cập Wi-Fi trong một thành phố."
"264","Fern Wi-Fi Cracker","Fern Wi-Fi Cracker","GUI tool tấn công mật khẩu Wi-Fi.","10","Là một công cụ tấn công và kiểm toán bảo mật mạng không dây có giao diện đồ họa, giúp đơn giản hóa việc bẻ khóa WEP, WPA và tấn công WPS.","Một người mới bắt đầu trong lĩnh vực bảo mật sử dụng Fern Wi-Fi Cracker để thực hiện các cuộc tấn công Wi-Fi đầu tiên của mình."
"265","OpenStego","OpenStego","tool steganography — giấu dữ liệu trong ảnh.","10","Là một công cụ steganography mã nguồn mở, cho phép người dùng che giấu một file bí mật bên trong một file ảnh.","Một người dùng sử dụng OpenStego để ẩn một tài liệu văn bản quan trọng vào bên trong một bức ảnh trước khi gửi nó qua email."
"266","snow","snow","tool steganography/ẩn dữ liệu trong text hoặc media.","10","Là một chương trình steganography cổ điển, có khả năng che giấu thông điệp trong các file văn bản ASCII bằng cách thêm các khoảng trắng ở cuối dòng.","Attacker sử dụng snow để che giấu một thông điệp ngắn gọn trong một file văn bản có vẻ như vô hại."
"267","Coagula","Coagula","tool chuyển dữ liệu vào dạng âm thanh để steganography.","10","Là một công cụ tổng hợp hình ảnh thành âm thanh, cho phép che giấu hình ảnh và dữ liệu trong các file âm thanh.","Một nghệ sĩ sử dụng Coagula để nhúng các hình ảnh ẩn vào trong bản nhạc của mình như một dạng "trứng phục sinh"."
"268","Sonic Visualiser","Sonic Visualiser","phân tích audio — dùng trong forensic hoặc steganography.","10","Là một ứng dụng để xem và phân tích nội dung của các file âm thanh. Trong pháp y số, nó có thể được dùng để phát hiện các dữ liệu ẩn được che giấu bằng kỹ thuật steganography.","Một điều tra viên sử dụng Sonic Visualiser để phân tích một file âm thanh đáng ngờ và tìm thấy một tín hiệu bất thường có chứa dữ liệu ẩn."
"269","TinEye","TinEye","reverse image search — tìm nguồn gốc/metadata ảnh.","10","Là một công cụ tìm kiếm hình ảnh ngược, cho phép người dùng tải lên một bức ảnh và tìm kiếm xem nó đã xuất hiện ở đâu trên Internet. Rất hữu ích trong việc điều tra OSINT.","Một nhà báo sử dụng TinEye để xác minh xem một bức ảnh được đăng trên mạng xã hội là thật hay đã được lấy từ một nguồn khác."
"270","Metagoofil","Metagoofil","OSINT tool trích xuất metadata từ tài liệu công khai.","10","Là một công cụ OSINT dùng để trích xuất metadata từ các tài liệu công khai (như pdf, doc, xls) được tìm thấy trên một tên miền mục tiêu.","Pentester sử dụng Metagoofil để tìm kiếm các tên người dùng và đường dẫn mạng nội bộ bị rò rỉ trong các tài liệu trên website của công ty."
"271","ScoutSuite / Scout Suite","ScoutSuite","tool đánh giá cấu hình bảo mật cloud — AWS, Azure, GCP.","10","Là một công cụ kiểm toán bảo mật mã nguồn mở cho các môi trường đám mây, giúp tự động phát hiện các cấu hình sai và các rủi ro bảo mật trên AWS, Azure và GCP.","Một kỹ sư DevOps sử dụng ScoutSuite để kiểm tra môi trường đám mây của công ty và đảm bảo nó tuân thủ các thực hành tốt nhất về bảo mật."
"272","CloudBrute","CloudBrute","tool enumeration tài khoản cloud, kiểm tra quyền truy cập.","10","Là một công cụ dùng để tìm kiếm các tài nguyên và hạ tầng của một tổ chức trên các nhà cung cấp đám mây lớn.","Attacker sử dụng CloudBrute để tìm kiếm các bucket S3 hoặc các blog lưu trữ của một công ty mục tiêu."
"273","Pacu","Pacu","AWS exploitation framework — pentest cloud.","10","Là một framework khai thác mã nguồn mở dành riêng cho môi trường AWS, giúp tự động hóa việc kiểm thử xâm nhập vào các tài khoản AWS.","Sau khi có được một bộ khóa API của AWS, pentester sử dụng Pacu để tự động thực hiện các kỹ thuật leo thang đặc quyền và khai thác các dịch vụ khác."
"274","Cloud Custodian","Cloud Custodian","tool quản lý, kiểm soát tuân thủ chính sách cloud.","10","Là một công cụ mã nguồn mở giúp quản lý và tự động hóa việc tuân thủ các chính sách bảo mật, chi phí và quản trị trên các môi trường đám mây công cộng.","Một công ty sử dụng Cloud Custodian để tự động thực thi một chính sách: 'xóa tất cả các bucket S3 không được mã hóa sau 24 giờ'."
"275","WPScan (Wordpress scanner)","WPScan","web scanner chuyên WordPress để tìm lỗ hổng và cấu hình sai.","10","Là một công cụ quét lỗ hổng "hộp đen" dành riêng cho các trang web WordPress, giúp tìm kiếm các plugin, theme và phiên bản WordPress có lỗ hổng đã biết.","Quản trị viên trang web sử dụng WPScan hàng tuần để kiểm tra xem trang WordPress của họ có các vấn đề bảo mật nào cần được vá hay không."
"276","John the Ripper","John the Ripper","password cracker phổ biến — brute-force, dictionary attack.","10","Là một trong những công cụ bẻ khóa mật khẩu miễn phí và nổi tiếng nhất, có khả năng phát hiện loại hash và sử dụng nhiều phương pháp tấn công khác nhau.","Sau khi trích xuất các hash mật khẩu từ một file /etc/shadow, pentester sử dụng John the Ripper để bẻ khóa chúng."
"277","Mdk4","Mdk4","tool pentest Wi-Fi — deauth, fuzzing, tấn công mạng không dây.","10","Là một công cụ tấn công mạng Wi-Fi mạnh mẽ, có khả năng gây ra các cuộc tấn công từ chối dịch vụ, tấn công deauthentication và nhiều loại tấn công khác.","Pentester sử dụng Mdk4 để thực hiện một cuộc tấn công deauthentication nhằm ngắt kết nối tất cả người dùng khỏi một mạng Wi-Fi."
"278","Rogue access points","điểm truy cập giả mạo","mạng Wi-Fi giả mạo để đánh cắp dữ liệu hoặc redirect traffic.","10","Là một điểm truy cập Wi-Fi không được ủy quyền được cài đặt trong một mạng. Nó có thể được kẻ tấn công sử dụng để thực hiện các cuộc tấn công Man-in-the-Middle hoặc đánh cắp dữ liệu.","Attacker thiết lập một Rogue Access Point có tên giống hệt mạng Wi-Fi của công ty để lừa nhân viên kết nối vào."
"279","Cain and Abel","Cain and Abel","tool phục hồi mật khẩu Windows — password cracking, sniffing, brute-force.","10","Là một công cụ khôi phục mật khẩu và an ninh đa năng cho hệ điều hành Windows, có khả năng thực hiện sniffing mạng, bẻ khóa mật khẩu và nhiều cuộc tấn công khác.","Một chuyên gia bảo mật sử dụng Cain and Abel để phân tích mạng và khôi phục các mật khẩu đã quên trong một môi trường được cho phép."
"280","Hashcat","Hashcat","password cracking tool mạnh — hỗ trợ GPU, nhiều thuật toán hash.","10","Là công cụ bẻ khóa mật khẩu nhanh nhất thế giới, tận dụng sức mạnh của GPU để thực hiện các cuộc tấn công brute-force và từ điển trên hàng trăm loại hash khác nhau.","Sau khi có được một cơ sở dữ liệu hash NTLM, pentester sử dụng Hashcat với một dàn GPU mạnh để bẻ khóa chúng trong thời gian ngắn nhất."
"281","Hydra","Hydra","tool tấn công mật khẩu đa giao thức — brute-force, dictionary attack.","10","Là một công cụ bẻ khóa mật khẩu đăng nhập trực tuyến rất nhanh và linh hoạt, hỗ trợ hàng chục giao thức khác nhau như FTP, SSH, RDP, và HTTP.","Attacker sử dụng Hydra để thực hiện một cuộc tấn công từ điển vào trang đăng nhập của một thiết bị router."
"282","RainbowCrack","RainbowCrack","tool crack mật khẩu bằng rainbow tables.","10","Là một công cụ bẻ khóa mật khẩu sử dụng kỹ thuật "rainbow tables" – một phương pháp đánh đổi dung lượng lưu trữ để lấy tốc độ bẻ khóa cực nhanh.","Pentester sử dụng RainbowCrack với một bộ rainbow tables đã được tính toán trước để bẻ khóa các hash LM của Windows."
"283","Medusa and Ncrack","Medusa, Ncrack","tool tấn công mật khẩu mạnh mẽ, đa giao thức.","10","Là hai công cụ tấn công mật khẩu mạng song song và hàng loạt, được thiết kế để kiểm tra một lượng lớn máy chủ với nhiều thông tin đăng nhập khác nhau.","Quản trị viên sử dụng Ncrack để kiểm tra xem có bất kỳ thiết bị nào trong mạng của họ đang sử dụng mật khẩu mặc định hay không."
"284","CeWL","CeWL","tool thu thập từ vựng để phục vụ tấn công mật khẩu dựa trên website.","10","Là một công cụ tạo danh sách từ khóa tùy chỉnh bằng cách thu thập các từ trên trang web của mục tiêu. Danh sách này sau đó được dùng cho các cuộc tấn công mật khẩu.","Pentester sử dụng CeWL để tạo một danh sách từ khóa từ trang web của công ty, hy vọng rằng nhân viên sẽ sử dụng các từ liên quan đến công ty để đặt mật khẩu."
"285","Mimikatz","Mimikatz","tool khai thác credentials Windows — hash, token, plain text passwords.","10","Là công cụ "huyền thoại" để đánh cắp thông tin xác thực (credentials) trên Windows. Đây là thứ đầu tiên attacker sẽ chạy sau khi có được quyền admin trên một máy tính.","Sau khi có quyền admin, attacker chạy Mimikatz với lệnh sekurlsa::logonpasswords để lấy toàn bộ mật khẩu dưới dạng chữ rõ (plaintext) từ bộ nhớ."
"286","Patator","Patator","tool brute-force da nang — FTP, SSH, SMB, HTTP…","10","Là một công cụ brute-force đa năng, rất linh hoạt, hỗ trợ nhiều loại dịch vụ và cho phép tùy chỉnh cao trong việc xây dựng các payload tấn công.","Pentester sử dụng Patator để thực hiện một cuộc tấn công brute-force vào một trang đăng nhập có cơ chế bảo vệ chống brute-force phức tạp."
"287","Microsoft's Remote Desktop Protocol (RDP)","RDP","giao th?c di?u khi?n máy tính t? xa c?a Microsoft.","10","Là giao thức quản trị từ xa phổ biến nhất cho Windows. Nếu bị lộ ra Internet, nó trở thành mục tiêu hàng đầu cho các cuộc tấn công brute-force mật khẩu.","Attacker quét và tìm thấy một server có cổng 3389 (RDP) đang mở. Chúng tiến hành dò mật khẩu quản trị viên cho đến khi thành công và chiếm được toàn quyền điều khiển server."
"288","Apple Remote Desktop","Apple Remote Desktop","phần mềm điều khiển máy Mac từ xa.","10","Là công cụ điều khiển từ xa chính thức cho macOS. Trong môi trường sử dụng nhiều máy Mac, nó trở thành mục tiêu tương tự như RDP để di chuyển ngang.","Trong mạng văn phòng, attacker chiếm được một máy Mac và dùng nó để quét tìm các máy khác đang bật dịch vụ Apple Remote Desktop nhằm chiếm quyền điều khiển."
"289","VNC","VNC","giao thức điều khiển máy tính từ xa, cross-platform.","10","Là giao thức điều khiển từ xa đa nền tảng. Thường bị attacker lợi dụng khi các hệ thống VNC được cấu hình với mật khẩu yếu hoặc không có mật khẩu.","Pentester phát hiện một máy chủ có cổng 5900 (VNC) đang mở và không yêu cầu mật khẩu. Họ dùng VNC client kết nối thẳng vào và thấy toàn bộ màn hình desktop của máy chủ đó."
"290","X server forwarding","X server forwarding","kỹ thuật hiển thị GUI từ Linux server qua SSH","10","Dùng trong môi trường Linux/Unix để chạy ứng dụng đồ họa từ xa. Attacker có thể lợi dụng kênh này để chụp màn hình hoặc bắt các thao tác bàn phím (keylogging) nếu kiểm soát được kết nối.","Attacker lừa quản trị viên SSH vào một server độc hại có bật X11 forwarding. Khi quản trị viên mở một ứng dụng đồ họa, cửa sổ sẽ hiện ra, nhưng attacker có thể ghi lại các thông tin được nhập vào."
"291","Veil","Veil","framework tạo payload tránh phát hiện AV/EDR.","10","Là một framework dùng để tạo ra các payload của Metasploit đã được mã hóa và làm rối, nhằm mục đích né tránh sự phát hiện của các phần mềm diệt virus.","Pentester sử dụng Veil để tạo một file thực thi độc hại có tỷ lệ bị phát hiện (FUD - Fully Undetectable) cao."
"292","Tor","Tor","mạng ẩn danh — dùng để ẩn IP, evasion, OSINT, C2.","10","Là một mạng lưới ẩn danh cho phép người dùng che giấu địa chỉ IP và vị trí của mình. Được sử dụng bởi cả những người cần quyền riêng tư và cả các attacker để che giấu dấu vết.","Một attacker điều khiển hệ thống C2 của mình thông qua mạng Tor để làm cho việc truy tìm nguồn gốc của cuộc tấn công trở nên khó khăn hơn."
"293","Proxychains","Proxychains","tool định tuyến lưu lượng qua proxy để ẩn IP.","10","Là một công cụ cho phép định tuyến lưu lượng truy cập từ bất kỳ ứng dụng nào qua một chuỗi các proxy (như SOCKS4, SOCKS5, HTTP), thường được dùng để che giấu địa chỉ IP.","Pentester sử dụng Proxychains kết hợp với Nmap để quét mục tiêu thông qua mạng Tor, che giấu địa chỉ IP thật của mình."
"294","Encryption","mã hóa","bảo vệ dữ liệu — symmetric/asymmetric, TLS, AES…","10","Là quá trình chuyển đổi dữ liệu thành một định dạng không thể đọc được nếu không có khóa giải mã. Là một biện pháp phòng thủ cốt lõi, nhưng cũng được mã độc tống tiền (ransomware) sử dụng.","Công ty sử dụng Encryption toàn bộ ổ đĩa để bảo vệ dữ liệu trên laptop của nhân viên trong trường hợp bị mất cắp."
"295","Evasion","né tránh","kỹ thuật tránh phát hiện bởi AV/IDS/EDR hoặc logging.","10","Là các kỹ thuật được mã độc và attacker sử dụng để qua mặt các biện pháp phòng thủ như phần mềm diệt virus (AV), hệ thống phát hiện xâm nhập (IDS), và các công cụ ghi log.","Attacker sử dụng mã hóa và các kỹ thuật làm rối mã (obfuscation) trên payload của mình như một kỹ thuật Evasion."
"296","Cisco's Encrypted Traffic Analytics (ETA), U. S. National Security Agency (NSA)","Cisco ETA; NSA","công nghệ/phương pháp phân tích traffic mã hóa để phát hiện mối đe dọa.","10","Là một công nghệ phân tích các mẫu lưu lượng mạng đã được mã hóa để phát hiện các mối đe dọa mà không cần phải giải mã chúng.","Một hệ thống mạng lớn sử dụng Cisco's ETA để phát hiện các hoạt động của mã độc bên trong các luồng HTTPS."
"297","Dual Elliptic Curve Deterministic Random Bit Generator (Dual_EC_DRBG)","Dual_EC_DRBG","cơ chế tạo số ngẫu nhiên dựa trên elip — từng có backdoor nghi ngờ.","10","Là một tiêu chuẩn tạo số ngẫu nhiên đã không còn được tin dùng do có những cáo buộc rằng nó chứa một backdoor của NSA.","Các tiêu chuẩn bảo mật hiện đại cấm sử dụng Dual_EC_DRBG do các lo ngại về tính toàn vẹn của nó."
"298","DNS tunneling (DNS exfiltration)","DNS tunneling","kỹ thuật gửi dữ liệu ra ngoài qua truy vấn DNS.","10","Là một kỹ thuật dùng để che giấu dữ liệu hoặc tạo kênh C2 bằng cách đóng gói chúng vào trong các truy vấn DNS, thường được dùng để vượt qua các tường lửa nghiêm ngặt.","Attacker sử dụng DNS tunneling để rút trộm dữ liệu từ một mạng bị cô lập, chỉ cho phép lưu lượng DNS đi ra ngoài."
"299","Metasploit","Metasploit","framework khai thác/exploit phổ biến cho pentest — modules, payload, post-exploit.","10","Là một framework khai thác toàn diện và phổ biến nhất, cung cấp một bộ sưu tập lớn các exploit, payload, và các công cụ phụ trợ để tự động hóa quá trình tấn công.","Pentester sử dụng Metasploit để chạy exploit EternalBlue, tự động tấn công và nhận về một phiên Meterpreter."
"300","Browser Exploitation Framework Project (BeEF)","BeEF","framework tấn công trình duyệt web — khai thác browser, XSS.","10","Là một công cụ tập trung vào việc tấn công phía trình duyệt. Sau khi "hook" được một trình duyệt, BeEF cho phép pentester thực hiện nhiều hành động khác nhau trên máy của nạn nhân.","Sau khi khai thác thành công một lỗ hổng XSS, attacker sử dụng BeEF để chiếm quyền điều khiển trình duyệt của nạn nhân, đánh cắp cookie và thực hiện các hành động khác."
"301","The GNU Project Debugger (GDB)","GDB","debugger mã nguồn mở cho Linux/Unix.","10","Là trình gỡ lỗi (debugger) tiêu chuẩn trên các hệ thống Linux/Unix, được dùng để phân tích các file thực thi, phát triển exploit và nghiên cứu lỗ hổng.","Một nhà nghiên cứu bảo mật sử dụng GDB để phân tích một file nhị phân và tìm ra vị trí gây ra lỗi tràn bộ đệm."
"302","Windows Debugger","Windows Debugger","công cụ gỡ lỗi ứng dụng Windows — WinDbg.","10","Là một bộ công cụ gỡ lỗi mạnh mẽ của Microsoft, dùng để phân tích các ứng dụng, driver và cả hệ điều hành Windows ở mức độ thấp.","Một kỹ sư sử dụng WinDbg để phân tích một file dump (memory dump) sau khi hệ thống bị "màn hình xanh chết chóc" (BSOD)."
"303","OllyDbg","OllyDbg","debugger mã nhị phân Windows — phân tích malware, reverse engineering.","10","Là một trình gỡ lỗi mã nhị phân 32-bit kinh điển cho Windows, rất phổ biến trong giới phân tích mã độc và bẻ khóa phần mềm do giao diện trực quan và nhiều plugin hữu ích.","Một nhà phân tích mã độc sử dụng OllyDbg để theo dõi từng bước thực thi của một file virus."
"304","edb Debugger","edb Debugger","GUI debugger cho Linux — phân tích nhị phân.","10","Là một trình gỡ lỗi đa nền tảng có giao diện đồ họa, được xem như là một phiên bản "OllyDbg cho Linux".","Một nhà nghiên cứu lỗ hổng sử dụng edb Debugger để phân tích một file thực thi ELF trên Linux."
"305","Immunity Debugger","Immunity Debugger","Windows debugger nâng cao — hỗ trợ phân tích exploit.","10","Là một trình gỡ lỗi mạnh mẽ cho Windows, được thiết kế đặc biệt cho việc phát triển exploit và phân tích mã độc, với khả năng viết kịch bản bằng Python.","Một pentester sử dụng Immunity Debugger với các script Python để tự động hóa việc tìm kiếm các byte xấu (bad characters) khi viết exploit."
"306","IDA","IDA","Interactive Disassembler — phân tích mã nhị phân, reverse engineering.","10","Là công cụ dịch ngược (disassembler) và gỡ lỗi (debugger) hàng đầu thế giới, được xem là tiêu chuẩn vàng trong ngành phân tích mã độc và nghiên cứu lỗ hổng.","Một nhà nghiên cứu bảo mật cấp cao sử dụng IDA Pro để phân tích một mã độc phức tạp và vẽ ra biểu đồ luồng thực thi của nó."
"307","Objdump","Objdump","tool dòng lệnh phân tích nhị phân — disassembly, sections, symbols.","10","Là một công cụ dòng lệnh của GNU Binutils, dùng để hiển thị thông tin từ các file đối tượng và file thực thi trên Linux, như mã assembly, các section và các symbol.","Một lập trình viên sử dụng objdump -d để xem mã assembly của chương trình C mà họ vừa biên dịch."
"308","Wapiti","Wapiti","web vulnerability scanner — quét SQLi, XSS, LFI, RFI.","10","Là một công cụ quét lỗ hổng ứng dụng web "hộp đen", có khả năng phát hiện nhiều loại lỗ hổng khác nhau bằng cách "cào" trang web và thử nghiệm các payload tấn công.","Một nhà phát triển nhanh chóng chạy Wapiti trên ứng dụng web của họ để tìm kiếm các lỗ hổng phổ biến trước khi triển khai."
"445","Cloud","Điện toán đám mây","Cung cấp tài nguyên IT (compute, storage, mạng, dịch vụ) qua mạng Internet theo mô hình dịch vụ. Ưu: scale, pay-as-you-go, triển khai nhanh. Rủi ro: cấu hình sai, quản lý IAM kém, rò rỉ dữ liệu. Phòng thủ: quản trị quyền, encryption, logging, patching, CSP best practices.","7","Trong một công ty khởi nghiệp, nhóm DevOps triển khai toàn bộ hệ thống web trên AWS Cloud để tận dụng khả năng mở rộng linh hoạt và giảm chi phí phần cứng.","Một công ty triển khai hệ thống ERP trên AWS thay vì mua server vật lý tại văn phòng."
"446","API (Application Programming Interface)","Giao diện lập trình ứng dụng (API)","Bộ quy tắc/endpoint cho phép ứng dụng tương tác (gọi chức năng, trao đổi dữ liệu). Rủi ro: lộ key, thiếu xác thực/authorization, thiếu rate-limit -> bị lạm dụng. Phòng thủ: auth mạnh (OAuth), rate limiting, input validation, logging, API gateway.","7","Quản trị viên bảo mật phát hiện một lỗ hổng trong REST API của hệ thống khi endpoint không kiểm tra token xác thực, dẫn đến rò rỉ dữ liệu người dùng.","Ứng dụng di động gọi API GET /users/123 tới server để lấy thông tin người dùng."
"447","IaaS (Infrastructure as a Service)","Cơ sở hạ tầng như một dịch vụ (IaaS)","Cung cấp máy ảo, storage, network (ví dụ EC2, Compute Engine). Người dùng chịu trách nhiệm OS/app, provider quản lý infra. Rủi ro: misconfig VM, security group sai. Phòng thủ: hardening VM, patching, IAM, network segmentation.","7","Bộ phận IT thuê máy ảo trên Azure IaaS để lưu trữ và xử lý dữ liệu nội bộ, tự chịu trách nhiệm về cấu hình OS và bảo mật hệ thống.","Dùng Amazon EC2 để tạo và quản lý máy ảo chạy web server Apache."
"448","PaaS (Platform as a Service)","Nền tảng như một dịch vụ (PaaS)","Cung cấp nền tảng (runtime, middleware) để triển khai ứng dụng (ví dụ App Engine). Giảm gánh nặng quản trị infra; người dùng focus code. Rủi ro: lộ config/app secrets, supply-chain libraries. Phòng thủ: secret management, dependency scanning, least privilege.","7","Nhà phát triển triển khai ứng dụng Node.js trên Google App Engine (PaaS) mà không cần quản lý server vật lý hoặc hạ tầng.","Developer triển khai ứng dụng Node.js lên Google App Engine mà không cần quản lý server."
"449","SaaS (Software as a Service)","Phần mềm như một dịch vụ (SaaS)","Ứng dụng được host bởi nhà cung cấp, người dùng dùng qua web (ví dụ Office365, Salesforce). Rủi ro: data residency, account compromise. Phòng thủ: SSO + MFA, DLP, audit logging, contractual SLAs.","7","Doanh nghiệp sử dụng Microsoft 365 SaaS cho email, cộng tác và lưu trữ dữ liệu mà không cần vận hành máy chủ nội bộ.","Doanh nghiệp sử dụng Microsoft 365 hoặc Google Workspace qua trình duyệt."
"450","IoT (Internet of Things)","Internet vạn vật (IoT)","Thiết bị kết nối mạng (sensor, camera, smart device). Rủi ro: firmware yếu, default creds, thiếu update -> botnet, data leak. Phòng thủ: network segmentation, device inventory, firmware update policy, strong auth.","7","Trong nhà máy, hàng trăm thiết bị IoT như cảm biến nhiệt độ và camera an ninh gửi dữ liệu liên tục về hệ thống trung tâm qua mạng không dây.","Hệ thống camera IP giám sát gửi dữ liệu hình ảnh về cloud để phân tích hành vi."
"451","Public cloud","Đám mây công cộng","Dịch vụ cloud do bên thứ ba cung cấp cho nhiều khách hàng (shared infra). Ưu: tiết kiệm, scale. Rủi ro: tenant isolation, compliance. Phòng thủ: encryption at rest/in transit, IAM, VPC, logging.","7","Công ty thương mại điện tử triển khai website trên AWS Public Cloud để đáp ứng hàng triệu lượt truy cập trong mùa mua sắm.","Sử dụng AWS S3 để lưu trữ file cho ứng dụng web."
"452","Private cloud","Đám mây riêng (Private cloud)","Hạ tầng cloud dành riêng cho một tổ chức (on-premise hoặc hosted). Ưu: kiểm soát, compliance; chi phí và vận hành cao hơn. Phòng thủ: tiêu chuẩn bảo mật on-prem, network controls, patching.","7","Một ngân hàng lớn duy trì Private Cloud nội bộ để đảm bảo dữ liệu khách hàng không rời khỏi trung tâm dữ liệu của họ.","Một ngân hàng xây dựng hệ thống OpenStack nội bộ để lưu trữ dữ liệu khách hàng."
"453","Community cloud","Đám mây cộng đồng","Hạ tầng chia sẻ giữa một nhóm tổ chức có yêu cầu tương tự (ví dụ ngành y tế). Kết hợp lợi ích public và private. Phòng thủ: governance, access control, hợp đồng ràng buộc.","7","Các bệnh viện trong cùng khu vực chia sẻ một Community Cloud để lưu trữ hồ sơ bệnh nhân và tuân thủ quy định y tế chung.","Các bệnh viện cùng chia sẻ hạ tầng cloud riêng cho việc lưu trữ hồ sơ y tế."
"454","Hybrid cloud","Đám mây lai (Hybrid cloud)","Kết hợp public + private nhằm tận dụng cả hai (ví dụ burst workloads lên public). Rủi ro: tích hợp, data flow, cấu hình network phức tạp. Phòng thủ: quản lý mạng an toàn (VPN/Direct Connect), consistent IAM, monitoring across environments.","7","Khi lưu lượng tăng đột biến, doanh nghiệp đẩy bớt workload từ Private Cloud sang Public Cloud trong kiến trúc Hybrid Cloud để đảm bảo hiệu năng.","Công ty lưu dữ liệu nhạy cảm trên private cloud, còn dịch vụ web host trên Azure public cloud."
"455","Credential harvesting","Thu thập thông tin xác thực","Kỹ thuật lừa hoặc thu thập credential (phishing, captive portal, keylogger, endpoint compromise). Hậu quả: account takeover, lateral movement. Phòng thủ: phishing awareness, email filtering, MFA, password hygiene, monitor anomalies.","7","Kẻ tấn công gửi email giả mạo trang đăng nhập Microsoft để thu thập thông tin xác thực của nhân viên.","Trang web giả mạo đăng nhập Microsoft 365 để đánh cắp tên người dùng và mật khẩu của nhân viên."
