"id","english","vietnamese","note","module","boi_canh","vi_du"
"993","Machine Learning (ML)","Học máy","Nhánh của AI cho phép hệ thống học từ dữ liệu và cải thiện hiệu suất mà không cần lập trình trực tiếp","IOT","","ML giúp dự đoán khi nào thiết bị công nghiệp sắp hỏng."
"994","Artificial Intelligence (AI)","Trí tuệ nhân tạo","Khả năng của máy tính mô phỏng hành vi thông minh của con người như học, lập luận và ra quyết định","IOT","","AI được dùng trong hệ thống giám sát an ninh tự động."
"995","Deep Learning (DL)","Học sâu","Kỹ thuật học máy sử dụng mạng nơ-ron nhiều lớp để xử lý dữ liệu phức tạp như hình ảnh, âm thanh hoặc tín hiệu cảm biến","IOT","","DL hỗ trợ phát hiện lỗi sản phẩm trong dây chuyền sản xuất qua hình ảnh camera."
"996","Predictive Maintenance (PdM)","Bảo trì dự đoán","Phương pháp bảo trì dựa trên dữ liệu cảm biến và mô hình ML để dự đoán hư hỏng trước khi xảy ra","IOT","","PdM giúp giảm thời gian dừng máy không kế hoạch trong nhà máy IoT."
"997","Prescriptive Analytics","Phân tích khuyến nghị","Cấp độ cao nhất của phân tích dữ liệu, không chỉ dự đoán mà còn đưa ra hành động tối ưu","IOT","","Hệ thống khuyến nghị điều chỉnh tốc độ bơm để tiết kiệm năng lượng."
"998","Descriptive Analytics","Phân tích mô tả","Phân tích dữ liệu quá khứ để hiểu điều gì đã xảy ra trong hệ thống","IOT","","Báo cáo năng suất tháng trước được tạo ra từ descriptive analytics."
"999","Diagnostic Analytics","Phân tích chẩn đoán","Tập trung vào việc xác định nguyên nhân gây ra hiện tượng hoặc sự cố","IOT","","Diagnostic analytics cho thấy lỗi cảm biến là nguyên nhân của dữ liệu sai lệch."
"1000","Root Cause Analysis","Phân tích nguyên nhân gốc","Phương pháp xác định nguyên nhân chính của sự cố để ngăn ngừa tái diễn","IOT","","RCA xác định rằng việc cấu hình sai PLC là nguyên nhân gây ngừng sản xuất."
"1001","Supply Chain Management (SCM)","Quản lý chuỗi cung ứng","Quản lý toàn bộ quá trình từ sản xuất đến phân phối để tối ưu chi phí và thời gian","IOT","","IoT giúp SCM theo dõi vị trí và tình trạng hàng hóa theo thời gian thực."
"1002","Robotics","Người máy học","Ngành công nghệ thiết kế, chế tạo và vận hành robot thực hiện các nhiệm vụ tự động","IOT","","Robot công nghiệp được sử dụng để lắp ráp linh kiện điện tử chính xác cao."
"1003","Automation","Tự động hóa","Sử dụng công nghệ điều khiển để vận hành máy móc, quy trình mà không cần can thiệp trực tiếp của con người","IOT","","Hệ thống SCADA hỗ trợ tự động hóa toàn bộ quy trình xử lý nước."
"1004","Quality of Service (QoS)","Chất lượng dịch vụ","Cơ chế đảm bảo ưu tiên băng thông và độ trễ cho các ứng dụng quan trọng trong mạng","IOT","","QoS giúp tín hiệu điều khiển PLC không bị gián đoạn khi mạng quá tải."
"1005","High Availability (HA)","Tính sẵn sàng cao","Khả năng hệ thống duy trì hoạt động liên tục ngay cả khi xảy ra lỗi phần cứng hoặc phần mềm","IOT","","Cấu hình HA cho phép máy chủ dự phòng tự động thay thế khi máy chủ chính bị lỗi."
"1006","Redundancy","Dự phòng","Thiết lập phần cứng, mạng hoặc dữ liệu trùng lặp để đảm bảo hệ thống vẫn hoạt động khi có sự cố","IOT","","Hai đường truyền mạng độc lập đảm bảo kết nối SCADA luôn ổn định."
"1007","Fault Tolerance","Chịu lỗi","Khả năng hệ thống tiếp tục hoạt động bình thường dù có một phần bị hỏng","IOT","","Bộ điều khiển có cơ chế fault tolerance để duy trì điều khiển quá trình khi cảm biến lỗi."
"1008","Downtime","Thời gian ngừng hoạt động","Khoảng thời gian hệ thống không khả dụng do bảo trì hoặc sự cố","IOT","","Việc cập nhật firmware gây ra downtime tạm thời cho dây chuyền sản xuất."
"1009","Uptime","Thời gian hoạt động","Tỷ lệ thời gian hệ thống hoạt động bình thường, thường được dùng để đo độ tin cậy","IOT","","Máy chủ SCADA đạt uptime 99.99% trong quý vừa qua."
"1010","Resilience","Khả năng phục hồi","Khả năng hệ thống nhanh chóng phục hồi sau sự cố hoặc tấn công","IOT","","Kiến trúc mạng công nghiệp được thiết kế để tăng resilience khi gặp tấn công mạng."
"1011","Reliability","Độ tin cậy","Khả năng hệ thống hoạt động chính xác, ổn định trong thời gian dài","IOT","","Cảm biến có độ tin cậy cao giúp đảm bảo dữ liệu đo chính xác."
"1012","Interoperability","Tính tương tác","Khả năng các hệ thống hoặc thiết bị khác nhau hoạt động và trao đổi dữ liệu hiệu quả với nhau","IOT","","Thiết bị từ nhiều nhà cung cấp vẫn có thể giao tiếp nhờ tuân thủ chuẩn OPC-UA."
"1013","Scalability","Khả năng mở rộng","Khả năng hệ thống tăng quy mô hoặc tải mà vẫn duy trì hiệu suất tốt","IOT","","Nền tảng IoT có thể mở rộng để quản lý thêm hàng nghìn cảm biến mới."
"1014","OSI Model","Mô hình OSI","Mô hình 7 lớp chuẩn cho việc truyền dữ liệu mạng, gồm: Vật lý, Liên kết dữ liệu, Mạng, Giao vận, Phiên, Trình diễn, Ứng dụng","IOT","","Giao thức TCP hoạt động ở lớp 4 – Transport của mô hình OSI."
"1015","Firmware","Phần mềm nhúng","Chương trình điều khiển phần cứng, lưu trong bộ nhớ cố định của thiết bị","IOT","","PLC được cập nhật firmware mới để vá lỗi bảo mật."
"1016","Software","Phần mềm","Tập hợp chương trình và dữ liệu điều khiển hoạt động của máy tính hoặc thiết bị","IOT","","Hệ thống HMI chạy trên phần mềm SCADA chuyên dụng."
"1017","Hardware","Phần cứng","Các thành phần vật lý của thiết bị như CPU, RAM, cảm biến, hoặc bo mạch","IOT","","Cảm biến nhiệt là phần cứng thu thập dữ liệu đầu vào cho hệ thống điều khiển."
"1018","Smart Grid","Lưới điện thông minh","Hệ thống điện tích hợp công nghệ thông tin và truyền thông để tối ưu phân phối và tiêu thụ điện năng","IOT","","Smart Grid cho phép tự động điều chỉnh tải điện theo nhu cầu thực tế."
"1019","Substation","Trạm biến áp","Cơ sở hạ tầng trung gian trong hệ thống điện dùng để biến đổi và phân phối điện năng","IOT","","Trạm biến áp truyền dữ liệu về trung tâm điều khiển qua mạng SCADA."
"1020","Substation Automation","Tự động hóa trạm biến áp","Ứng dụng thiết bị và hệ thống điều khiển để giám sát, điều khiển trạm biến áp từ xa","IOT","","Hệ thống Substation Automation giúp vận hành ổn định và giảm sự cố điện."
"1021","Distribution Automation","Tự động hóa phân phối điện","Sử dụng cảm biến, điều khiển và giao tiếp để tối ưu quản lý mạng điện phân phối","IOT","","Distribution Automation giúp phát hiện và cô lập nhanh khu vực mất điện."
"1022","Advanced Metering Infrastructure (AMI)","Hạ tầng đo đếm tiên tiến","Hệ thống đồng hồ điện thông minh và mạng truyền thông cho phép giám sát và thu thập dữ liệu tiêu thụ năng lượng theo thời gian thực","IOT","","AMI giúp công ty điện lực theo dõi tình trạng lưới điện hiệu quả hơn."
"1023","Smart Meter","Công tơ điện thông minh","Thiết bị đo năng lượng có khả năng giao tiếp hai chiều với trung tâm điều khiển","IOT","","Smart Meter tự động gửi dữ liệu tiêu thụ điện hàng giờ về máy chủ."
"1024","Phasor Measurement Unit (PMU)","Thiết bị đo pha","Thiết bị đo góc pha và biên độ điện áp, dòng điện theo thời gian thực trong hệ thống điện","IOT","","PMU cung cấp dữ liệu quan trọng giúp đảm bảo ổn định lưới điện."
"1025","Synchrophasor","Pha đồng bộ","Tín hiệu pha được đo đồng bộ theo thời gian GPS để so sánh và phân tích mạng điện rộng","IOT","","Synchrophasor cho phép giám sát động học của toàn bộ lưới điện quốc gia."
"1026","Wide Area Measurement System (WAMS)","Hệ thống đo lường diện rộng","Mạng lưới các PMU kết nối với trung tâm điều khiển để giám sát toàn hệ thống điện theo thời gian thực","IOT","","WAMS giúp phát hiện sớm sự cố mất ổn định điện năng."
"1027","Energy Management System (EMS)","Hệ thống quản lý năng lượng","Phần mềm giám sát, phân tích và tối ưu việc sử dụng năng lượng trong nhà máy hoặc lưới điện","IOT","","EMS hỗ trợ giảm chi phí vận hành và nâng cao hiệu suất năng lượng."
"1028","Distribution Management System (DMS)","Hệ thống quản lý phân phối điện","Giải pháp phần mềm hỗ trợ giám sát, điều khiển và tối ưu mạng lưới phân phối điện","IOT","","DMS giúp phát hiện nhanh sự cố điện và tự động tái định tuyến nguồn cung."
"1029","Outage Management System (OMS)","Hệ thống quản lý sự cố điện","Phần mềm hỗ trợ phát hiện, giám sát và xử lý sự cố mất điện trên lưới điện","IOT","","OMS giúp xác định nhanh khu vực bị mất điện, thông báo cho khách hàng và hỗ trợ khôi phục điện tự động."
"1030","Geospatial Information System (GIS)","Hệ thống thông tin địa lý","Công nghệ thu thập, lưu trữ, phân tích và hiển thị dữ liệu vị trí địa lý","IOT","","GIS giúp định vị và quản lý tài sản hạ tầng điện theo không gian địa lý."
"1031","Demand Response (DR)","Đáp ứng nhu cầu điện","Chương trình điều chỉnh mức tiêu thụ điện theo tín hiệu từ lưới điện hoặc giá điện","IOT","","DR giúp cân bằng cung – cầu năng lượng và giảm tải vào giờ cao điểm."
"1032","Load Balancing","Cân bằng tải","Phân phối đồng đều phụ tải điện giữa các nguồn hoặc thiết bị để tránh quá tải","IOT","","Cân bằng tải giúp tối ưu hiệu suất hệ thống và giảm rủi ro sự cố."
"1033","Load Shedding","Cắt giảm tải","Quá trình tạm thời ngắt một phần phụ tải điện khi hệ thống thiếu công suất","IOT","","Biện pháp này giúp ngăn ngừa sụp đổ lưới điện toàn phần."
"1034","Peak Load","Phụ tải đỉnh","Mức tiêu thụ điện cao nhất trong một khoảng thời gian nhất định","IOT","","Việc xác định phụ tải đỉnh giúp quy hoạch và thiết kế công suất hệ thống điện."
"1035","Base Load","Phụ tải cơ bản","Mức tiêu thụ điện ổn định tối thiểu của hệ thống trong suốt thời gian vận hành","IOT","","Phụ tải cơ bản thường được đáp ứng bởi các nhà máy điện nền."
"1036","Grid-Tied","Hệ thống nối lưới","Hệ thống năng lượng, như điện mặt trời, được kết nối trực tiếp với lưới điện quốc gia","IOT","","Cho phép trao đổi năng lượng hai chiều giữa người dùng và lưới."
"1037","Off-Grid","Hệ thống độc lập","Hệ thống năng lượng hoạt động độc lập, không kết nối với lưới điện quốc gia","IOT","","Thường được sử dụng ở vùng xa, sử dụng kết hợp với pin lưu trữ."
"1038","Microgrid","Lưới điện cục bộ","Hệ thống điện nhỏ có thể hoạt động độc lập hoặc kết nối với lưới chính","IOT","","Microgrid tăng tính linh hoạt, bảo mật và khả năng phục hồi năng lượng."
"1039","Distributed Energy Resources (DER)","Nguồn năng lượng phân tán","Bao gồm các nguồn năng lượng nhỏ như điện mặt trời, gió, pin, máy phát... phân bố gần nơi tiêu thụ","IOT","","DER giúp giảm phụ thuộc vào lưới điện trung tâm."
"1040","Photovoltaics (PV)","Quang điện","Công nghệ chuyển đổi trực tiếp ánh sáng mặt trời thành điện năng bằng tế bào quang điện","IOT","","Là thành phần cốt lõi của hệ thống điện mặt trời."
"1041","Renewable Energy","Năng lượng tái tạo","Nguồn năng lượng được tạo ra từ các quá trình tự nhiên như gió, mặt trời, nước...","IOT","","Góp phần giảm phát thải và bảo vệ môi trường."
"1042","Energy Storage System (ESS)","Hệ thống lưu trữ năng lượng","Giải pháp lưu trữ điện năng để sử dụng khi cần thiết","IOT","","ESS giúp cân bằng cung – cầu năng lượng và ổn định lưới điện."
"1043","Battery Energy Storage System (BESS)","Hệ thống lưu trữ năng lượng bằng pin","Ứng dụng pin lithium-ion hoặc các công nghệ pin khác để lưu trữ điện năng","IOT","","BESS thường kết hợp với nguồn năng lượng tái tạo."
"1044","Inverter","Bộ nghịch lưu","Thiết bị chuyển đổi điện một chiều (DC) thành điện xoay chiều (AC)","IOT","","Dùng trong hệ thống PV và ESS để cung cấp điện cho lưới hoặc tải."
"1045","Converter","Bộ chuyển đổi điện","Thiết bị chuyển đổi dạng điện năng DC-DC hoặc AC-DC","IOT","","Dùng để điều chỉnh mức điện áp và tương thích giữa các thiết bị."
"1046","Transformer","Máy biến áp","Thiết bị dùng để thay đổi mức điện áp trong hệ thống điện xoay chiều","IOT","","Giúp truyền tải điện năng hiệu quả ở khoảng cách xa."
"1047","Capacitor Bank","Dãy tụ điện","Tập hợp các tụ điện dùng để cải thiện hệ số công suất và ổn định điện áp","IOT","","Giúp giảm tổn thất và cải thiện chất lượng điện năng."
"1048","Circuit Breaker","Máy cắt điện","Thiết bị tự động ngắt mạch khi có sự cố quá tải hoặc ngắn mạch","IOT","","Bảo vệ hệ thống điện và thiết bị khỏi hư hỏng."
"1049","Recloser","Bộ đóng cắt tự động","Thiết bị tự động ngắt và đóng lại mạch điện khi xảy ra sự cố tạm thời","IOT","","Giúp giảm thời gian mất điện và duy trì ổn định lưới."
"1050","Sectionalizer","Bộ tách đoạn mạch","Thiết bị xác định và cô lập phần mạch bị lỗi sau khi Recloser hoạt động","IOT","","Giúp khoanh vùng sự cố và khôi phục nhanh điện năng."
"1051","Fuse","Cầu chì","Thiết bị bảo vệ mạch bằng cách ngắt dòng khi dòng điện vượt mức cho phép","IOT","","Đơn giản, chi phí thấp và dễ thay thế."
"1052","Switchgear","Thiết bị đóng cắt điện","Tập hợp thiết bị như máy cắt, cầu dao, rơ-le, cầu chì... dùng để điều khiển và bảo vệ mạch điện","IOT","","Là thành phần quan trọng trong trạm điện."
"1053","Busbar","Thanh cái","Thanh dẫn điện dùng để phân phối điện từ nguồn đến các mạch khác nhau","IOT","","Được thiết kế chịu dòng điện cao và giảm tổn thất điện năng."
"1054","Transmission Line","Đường dây truyền tải","Dây dẫn điện cao áp truyền tải điện năng từ nhà máy điện đến trạm biến áp","IOT","","Là xương sống của hệ thống điện quốc gia."
"1055","Distribution Line","Đường dây phân phối","Dây dẫn trung thế hoặc hạ thế cung cấp điện đến khách hàng cuối cùng","IOT","","Liên kết giữa trạm biến áp và người tiêu dùng."
"1056","Voltage","Điện áp","Hiệu điện thế giữa hai điểm trong mạch điện","IOT","","Quyết định khả năng truyền tải và công suất của hệ thống."
"1057","Current","Dòng điện","Dòng chuyển động của electron qua dây dẫn","IOT","","Đơn vị đo là Ampere (A)."
"1058","Frequency","Tần số","Số chu kỳ dao động của dòng điện trong một giây","IOT","","Đơn vị đo là Hertz (Hz), thường là 50Hz hoặc 60Hz tùy khu vực."
"1059","Power Factor","Hệ số công suất","Tỷ lệ giữa công suất thực và công suất biểu kiến","IOT","","Hệ số công suất cao giúp tiết kiệm năng lượng và giảm tổn thất."
"1060","Harmonics","Sóng hài","Dạng nhiễu điện do các thiết bị phi tuyến tạo ra làm méo dạng sóng điện áp hoặc dòng điện","IOT","","Gây ảnh hưởng đến chất lượng điện năng."
"1061","NERC (North American Electric Reliability Corporation)","Tổ chức Độ tin cậy Điện Bắc Mỹ","Cơ quan giám sát, thiết lập tiêu chuẩn vận hành và an ninh cho hệ thống điện tại Bắc Mỹ","IOT","",""
"1062","NERC CIP (Critical Infrastructure Protection)","Bảo vệ cơ sở hạ tầng trọng yếu","Bộ tiêu chuẩn an ninh mạng do NERC ban hành nhằm bảo vệ hệ thống điện khỏi tấn công mạng","IOT","",""
"1063","FERC (Federal Energy Regulatory Commission)","Ủy ban Điều tiết Năng lượng Liên bang Mỹ","Cơ quan quản lý truyền tải, phân phối và thương mại năng lượng liên bang","IOT","",""
"1064","SCADA EMS/DMS","Hệ thống SCADA cho quản lý năng lượng/phân phối","Supervisory Control and Data Acquisition – Energy/Distribution Management System","IOT","","Hệ thống giám sát, điều khiển và thu thập dữ liệu trong các trung tâm vận hành điện."
"1065","Fault Detection, Isolation, and Restoration (FDIR)","Phát hiện, cô lập và khôi phục sự cố","Cơ chế tự động giúp phát hiện sự cố lưới điện, cô lập khu vực hỏng và khôi phục điện nhanh chóng cho khu vực còn lại","IOT","",""
"1066","Cellular","Mạng di động","Công nghệ truyền thông không dây chia vùng phủ sóng thành các ô – cell","IOT","","Dùng trong kết nối thiết bị IoT công nghiệp."
"1067","2G (GSM, GPRS, EDGE)","Mạng di động thế hệ 2","Công nghệ truyền dữ liệu tốc độ thấp, hỗ trợ SMS và truy cập Internet cơ bản cho IoT bao gồm GSM, GPRS, EDGE","IOT","",""
"1068","3G (UMTS, HSPA)","Mạng di động thế hệ 3","Tốc độ cao hơn 2G, hỗ trợ truyền dữ liệu và video trong IoT công nghiệp bao gồm UMTS, HSPA","IOT","",""
"1069","4G (LTE, LTE-M)","Mạng di động thế hệ 4","Tốc độ cao, độ trễ thấp, hỗ trợ truyền dữ liệu lớn cho thiết bị IoT bao gồm LTE, LTE-M","IOT","",""
"1070","5G (NR, eMBB, URLLC, mMTC)","Mạng di động thế hệ 5","Hỗ trợ tốc độ cực cao, độ trễ cực thấp và kết nối hàng triệu thiết bị IoT đồng thời bao gồm NR, eMBB, URLLC, mMTC","IOT","",""
"1071","mMTC (Massive Machine Type Communications)","Truyền thông máy loại lớn","Phân nhánh của 5G hỗ trợ số lượng lớn thiết bị IoT công suất thấp","IOT","",""
"1072","URLLC (Ultra-Reliable Low-Latency Communications)","Truyền thông siêu tin cậy độ trễ thấp","Phân nhánh 5G phục vụ ứng dụng yêu cầu độ trễ cực thấp như điều khiển công nghiệp","IOT","",""
"1073","eMBB (Enhanced Mobile Broadband)","Băng rộng di động nâng cao","Phân nhánh 5G cung cấp tốc độ dữ liệu rất cao, hỗ trợ video 4K/8K và VR/AR","IOT","",""
"1074","Private 5G / Private LTE","Mạng 5G/4G riêng","Mạng di động chuyên dụng được doanh nghiệp triển khai nội bộ để đảm bảo bảo mật, độ trễ thấp và kiểm soát dữ liệu","IOT","",""
"1075","SIM (Subscriber Identity Module)","Thẻ định danh thuê bao","Chứa thông tin nhận dạng thuê bao di động, dùng để xác thực thiết bị với mạng","IOT","",""
"1076","eSIM (Embedded SIM)","SIM nhúng","Được tích hợp trực tiếp vào thiết bị IoT, có thể cấu hình từ xa và tăng tính bảo mật","IOT","",""
"1077","iSIM (Integrated SIM)","SIM tích hợp","Được tích hợp vào vi xử lý của thiết bị IoT, giảm chi phí phần cứng và tăng bảo mật","IOT","",""
"1078","IMEI (International Mobile Equipment Identity)","Mã nhận dạng thiết bị di động quốc tế","Mã duy nhất dùng để định danh thiết bị kết nối mạng di động","IOT","",""
"1079","IMSI (International Mobile Subscriber Identity)","Mã định danh thuê bao di động quốc tế","Mã duy nhất lưu trên SIM, xác định người dùng trên mạng di động","IOT","",""
"1080","APN (Access Point Name)","Tên điểm truy cập mạng","Cấu hình mạng xác định cách thiết bị IoT kết nối Internet hoặc mạng riêng của nhà cung cấp","IOT","",""
"1081","MNO (Mobile Network Operator)","Nhà mạng di động","Doanh nghiệp sở hữu và vận hành hạ tầng mạng di động, bao gồm trạm phát sóng, lõi mạng và phổ tần được cấp phép","IOT","","Cung cấp dịch vụ thoại, dữ liệu và IoT cho người dùng cuối."
"1082","MVNO (Mobile Virtual Network Operator)","Nhà mạng ảo di động","Doanh nghiệp cung cấp dịch vụ di động nhưng không sở hữu hạ tầng mạng vật lý","IOT","","MVNO thuê lại tài nguyên mạng từ MNO để cung cấp dịch vụ cho khách hàng."
"1083","Roaming","Chuyển vùng","Khả năng thiết bị di động truy cập vào mạng của nhà mạng khác khi ra ngoài phạm vi phủ sóng của nhà mạng gốc","IOT","","Giúp duy trì kết nối toàn cầu cho thiết bị IoT."
"1084","Backhaul","Kết nối truyền dẫn trung gian","Đường truyền kết nối giữa mạng truy nhập vô tuyến (RAN) và lõi mạng (Core Network)","IOT","","Đảm bảo dữ liệu được truyền tải nhanh và ổn định trong hệ thống viễn thông."
"1085","Radio Access Network (RAN)","Mạng truy nhập vô tuyến","Thành phần kết nối thiết bị đầu cuối như điện thoại hoặc IoT với mạng lõi","IOT","","Bao gồm các trạm gốc, bộ thu phát vô tuyến và bộ điều khiển."
"1086","Core Network","Mạng lõi","Trung tâm xử lý và định tuyến dữ liệu trong mạng di động","IOT","","Cung cấp các dịch vụ xác thực, quản lý thuê bao và chuyển mạch dữ liệu."
"1087","Spectrum","Phổ tần số","Nguồn tài nguyên vô tuyến được sử dụng để truyền tín hiệu không dây","IOT","","Là yếu tố quyết định dung lượng và tốc độ mạng."
"1088","Licensed Spectrum","Phổ tần được cấp phép","Phổ vô tuyến được cơ quan quản lý cấp quyền sử dụng độc quyền cho các nhà mạng","IOT","","Đảm bảo chất lượng và tránh nhiễu sóng."
"1089","Unlicensed Spectrum","Phổ tần không cấp phép","Phổ tần được sử dụng tự do, không cần giấy phép, như Wi-Fi hoặc Bluetooth","IOT","","Phù hợp cho các ứng dụng IoT cục bộ chi phí thấp."
"1090","Frequency Band","Dải tần","Phạm vi tần số được phân bổ cho một loại dịch vụ truyền thông nhất định","IOT","","Ví dụ: băng tần 2.4GHz, 3.5GHz hoặc 5GHz."
"1091","Channel","Kênh truyền","Dải tần con trong băng tần, dùng để truyền dữ liệu riêng biệt giữa các thiết bị","IOT","","Giúp giảm nhiễu và tối ưu thông lượng mạng."
"1092","Bandwidth","Băng thông","Dung lượng truyền tải dữ liệu tối đa của kênh hoặc đường truyền trong một đơn vị thời gian","IOT","","Đơn vị đo là Hz hoặc Mbps."
"1093","Throughput","Thông lượng","Tốc độ dữ liệu thực tế mà mạng truyền tải được trong một khoảng thời gian","IOT","","Thông số đánh giá hiệu năng mạng."
"1094","Latency","Độ trễ","Thời gian cần để một gói dữ liệu đi từ nguồn đến đích","IOT","","Là yếu tố quan trọng trong các ứng dụng IoT thời gian thực."
"1095","Jitter","Độ dao động trễ","Biến động không đều của độ trễ gói tin trong quá trình truyền dữ liệu","IOT","","Gây ảnh hưởng đến chất lượng truyền thông thời gian thực như video hoặc điều khiển từ xa."
"1096","Packet Loss","Mất gói tin","Hiện tượng một hoặc nhiều gói dữ liệu không đến được đích","IOT","","Nguyên nhân có thể do nhiễu, tắc nghẽn hoặc lỗi mạng."
"1097","Signal Strength","Cường độ tín hiệu","Mức độ mạnh yếu của tín hiệu vô tuyến nhận được từ trạm phát","IOT","","Ảnh hưởng trực tiếp đến tốc độ và độ ổn định kết nối."
"1098","RSSI (Received Signal Strength Indicator)","Chỉ số cường độ tín hiệu nhận được","Giá trị đo lường tín hiệu RF nhận bởi thiết bị di động hoặc IoT","IOT","","Dùng để đánh giá chất lượng kết nối không dây."
"1099","SNR (Signal-to-Noise Ratio)","Tỷ lệ tín hiệu trên nhiễu","So sánh mức tín hiệu mong muốn với mức nhiễu nền","IOT","","SNR cao biểu thị chất lượng truyền thông tốt."
"1100","SINR (Signal-to-Interference-plus-Noise Ratio)","Tỷ lệ tín hiệu trên nhiễu và can nhiễu","Đo mức độ tín hiệu có thể sử dụng trong môi trường nhiễu và giao thoa","IOT","","Chỉ số quan trọng trong hiệu suất mạng di động."
"1101","Modulation","Điều chế","Quá trình mã hóa dữ liệu lên sóng mang để truyền qua kênh vô tuyến","IOT","","Các kỹ thuật phổ biến gồm QAM và QPSK."
"1102","Demodulation","Giải điều chế","Quá trình tách dữ liệu ra khỏi sóng mang sau khi nhận","IOT","","Là bước ngược lại của điều chế."
"1103","QAM (Quadrature Amplitude Modulation)","Điều chế biên độ cầu phương","Kỹ thuật điều chế kết hợp thay đổi cả biên độ và pha sóng mang","IOT","","Dùng trong các hệ thống 4G/5G để tăng tốc độ dữ liệu."
"1104","QPSK (Quadrature Phase-Shift Keying)","Điều chế dịch pha cầu phương","Kỹ thuật thay đổi pha sóng mang để biểu diễn dữ liệu nhị phân","IOT","","Cung cấp hiệu suất tốt trong môi trường nhiễu thấp."
"1105","OFDM (Orthogonal Frequency-Division Multiplexing)","Ghép kênh phân chia theo tần số trực giao","Kỹ thuật truyền dữ liệu bằng cách chia tín hiệu thành nhiều sóng mang con trực giao","IOT","","Là nền tảng của công nghệ LTE và 5G."
"1106","Antenna","Ăng-ten","Thiết bị phát và thu sóng vô tuyến","IOT","","Có vai trò quan trọng trong truyền thông không dây và IoT."
"1107","MIMO (Multiple-Input Multiple-Output)","Đa đầu vào – đa đầu ra","Công nghệ sử dụng nhiều ăng-ten phát và thu để tăng dung lượng và độ tin cậy truyền dẫn","IOT","","Được ứng dụng trong LTE và 5G."
"1108","Beamforming","Tạo chùm sóng","Kỹ thuật điều hướng tín hiệu vô tuyến tập trung về phía người dùng thay vì phát tán đều","IOT","","Giúp tăng cường tín hiệu và giảm nhiễu."
"1109","Mesh Network","Mạng lưới","Mạng trong đó các nút (node) kết nối linh hoạt với nhau, có thể tự động định tuyến và phục hồi khi mất kết nối","IOT","","Ứng dụng trong IoT và hệ thống cảm biến."
"1110","Star Topology","Mô hình hình sao","Các thiết bị đầu cuối kết nối về một nút trung tâm","IOT","","Dễ quản lý và phổ biến trong mạng IoT nhỏ."
"1111","Point-to-Point (P2P)","Kết nối điểm-điểm","Kết nối trực tiếp giữa hai thiết bị truyền thông","IOT","","Đảm bảo tốc độ và độ bảo mật cao."
"1112","Point-to-Multipoint (P2MP)","Kết nối điểm-đa điểm","Một thiết bị trung tâm kết nối đến nhiều thiết bị đầu cuối","IOT","","Thường dùng trong truyền dữ liệu không dây công nghiệp."
"1113","ISO (International Organization for Standardization)","Tổ chức Tiêu chuẩn hóa Quốc tế","Cơ quan phát triển và ban hành tiêu chuẩn quốc tế trong nhiều lĩnh vực, bao gồm an ninh thông tin và năng lượng","IOT","",""
"1114","ISO 9001 (Quality Management)","Tiêu chuẩn quản lý chất lượng","Khung tiêu chuẩn đảm bảo sản phẩm và dịch vụ đáp ứng yêu cầu khách hàng và cải tiến liên tục","IOT","",""
"1115","ISO 14001 (Environmental Management)","Tiêu chuẩn quản lý môi trường","Đặt ra yêu cầu hệ thống quản lý để giảm tác động môi trường trong sản xuất và vận hành","IOT","",""
"1116","  (Information Security Management)","Tiêu chuẩn quản lý an ninh thông tin","Định nghĩa các yêu cầu về thiết lập, vận hành, duy trì và cải tiến hệ thống quản lý an ninh thông tin – ISMS","IOT","",""
"1117","ISO 27002 (Information Security Controls)","Kiểm soát an ninh thông tin","Hướng dẫn chi tiết các biện pháp kiểm soát nhằm hỗ trợ triển khai ISO 27001","IOT","",""
"1118","ISO 27017 (Cloud Security)","An ninh điện toán đám mây","Tiêu chuẩn hướng dẫn thực hành an ninh cho môi trường đám mây theo ISO/IEC 27002","IOT","",""
"1119","ISO 27019 (Energy Utility Security)","An ninh cho ngành năng lượng","Tiêu chuẩn bảo mật thông tin áp dụng cho hệ thống điều khiển và vận hành trong lĩnh vực năng lượng","IOT","",""
"1120","ISO 50001 (Energy Management)","Quản lý năng lượng","Hệ thống quản lý giúp tối ưu hiệu quả sử dụng năng lượng và giảm phát thải","IOT","",""
"1121","IEC (International Electrotechnical Commission)","Ủy ban Kỹ thuật Điện Quốc tế","Tổ chức ban hành tiêu chuẩn quốc tế về điện, điện tử và công nghệ liên quan","IOT","",""
"1122","ISA (International Society of Automation)","Hiệp hội Tự động hóa Quốc tế","Tổ chức phi lợi nhuận thiết lập tiêu chuẩn, chứng chỉ và hướng dẫn cho tự động hóa công nghiệp","IOT","",""
"1123","ISA/IEC 62443 (Security for IACS)","Bảo mật cho hệ thống điều khiển và tự động hóa công nghiệp (IACS)","Bộ tiêu chuẩn định nghĩa các yêu cầu an ninh mạng cho ICS và SCADA","IOT","",""
"1124","ISA-95 (Enterprise-Control System Integration)","Tích hợp hệ thống doanh nghiệp – điều khiển","Tiêu chuẩn mô tả mô hình tích hợp giữa hệ thống sản xuất và quản trị doanh nghiệp","IOT","",""
"1125","ISA-88 (Batch Control)","Kiểm soát quy trình theo mẻ","Tiêu chuẩn định nghĩa cấu trúc và mô hình kiểm soát cho sản xuất theo mẻ trong công nghiệp","IOT","",""
